GEO_CODE,GEO_NAME,0 to 14 years,15 to 29 minutes,15 to 64 years,3 Health occupations,30 to 44 minutes,45 to 59 minutes,60 minutes and over,65 years and over,All occupations,Apprenticeship or trades certificate or diploma,Average government transfers in 2015 among recipients ($),Average total income in 2015 among recipients ($),Bachelor's degree,Certificate of Apprenticeship or Certificate of Qualification,"College, CEGEP or other non-university certificate or diploma","Degree in medicine, dentistry, veterinary medicine or optometry",Earned doctorate,Employment rate,Health and related fields,Land area in square kilometres,Less than 15 minutes,Master's degree,Median after-tax income in 2015 among recipients ($),Median government transfers in 2015 among recipients ($),Median total income in 2015 among recipients ($),"No certificate, diploma or degree",Number of government transfers recipients aged 15 years and over in private households - 100% data,Participation rate,Population density per square kilometre,"Population, 2011","Population, 2016","Postsecondary certificate, diploma or degree","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",Secondary (high) school diploma or equivalency certificate,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,Unemployment rate,University certificate or diploma above bachelor level,University certificate or diploma below bachelor level,"University certificate, diploma or degree at bachelor level or above",GEO_ID_CODE,GEO_UID,PROV_TERR_ID_CODE,PROV_TERR_NAME_NOM,GEO_NAME_NOM,GEO_TYPE,GEO_GNR_SF,GEO_GNR_LF,GEO_DQ
1,Acton,19.0,1485.0,67.6,185.0,885.0,930.0,795.0,15.0,5570.0,435.0,7024.0,47300.0,600.0,215.0,1560.0,10.0,15.0,70.5,355.0,7.8,1005.0,150.0,35925.0,4329.0,40523.0,590.0,4935.0,73.5,1213.2,9506.0,9462.0,2880.0,6.5,1705.0,5095.0,7665.0,5165.0,7665.0,225.0,4.2,45.0,65.0,815.0,0001,2016S05100001,35,Ontario,Acton,,2.2,5.3,00000
2,Acton Vale,15.2,325.0,59.9,185.0,580.0,70.0,80.0,25.0,2560.0,725.0,9253.0,32045.0,160.0,190.0,465.0,10.0,10.0,56.2,190.0,4.3,1285.0,15.0,25216.0,8889.0,27200.0,550.0,3450.0,60.2,1254.2,5133.0,5399.0,1455.0,18.9,720.0,2345.0,4340.0,2720.0,4340.0,535.0,6.7,10.0,60.0,200.0,0002,2016S05100002,24,Quebec,Acton Vale,,5.1,5.6,00000
3,Airdrie,25.0,8975.0,68.3,2170.0,9000.0,3045.0,1865.0,55.0,35390.0,4355.0,6467.0,60964.0,5790.0,3145.0,9715.0,170.0,110.0,72.3,3430.0,32.78,7770.0,965.0,43340.0,3634.0,50002.0,2610.0,23060.0,78.8,1863.2,42844.0,61082.0,22815.0,5.4,9720.0,30645.0,45545.0,35140.0,45545.0,1210.0,8.3,420.0,1280.0,7455.0,0003,2016S05100003,48,Alberta,Airdrie,,3.0,4.0,00000
5,Alençon,13.1,145.0,64.2,45.0,165.0,65.0,80.0,5.0,800.0,235.0,9559.0,36441.0,100.0,50.0,220.0,10.0,0.0,59.0,80.0,2.94,285.0,25.0,28878.0,8816.0,32016.0,115.0,1025.0,61.2,530.4,1590.0,1562.0,625.0,10.2,140.0,740.0,1345.0,870.0,1340.0,190.0,4.3,25.0,15.0,160.0,0005,2016S05100005,24,Quebec,Alençon,,3.8,7.1,00000
6,Alexandria,11.4,155.0,55.1,85.0,160.0,30.0,90.0,20.0,1170.0,140.0,10491.0,31502.0,95.0,60.0,255.0,0.0,10.0,46.0,100.0,2.07,570.0,10.0,23578.0,11392.0,24683.0,245.0,1905.0,51.8,1375.1,2924.0,2845.0,540.0,24.8,470.0,1000.0,2300.0,1250.0,2300.0,80.0,11.7,10.0,25.0,115.0,0006,2016S05100006,35,Ontario,Alexandria,,5.5,11.1,00011
7,Alfred,12.2,145.0,59.9,35.0,85.0,40.0,85.0,5.0,550.0,85.0,9931.0,33313.0,25.0,40.0,140.0,0.0,0.0,51.8,65.0,0.87,150.0,0.0,28256.0,9568.0,31248.0,115.0,735.0,56.3,1369.6,1035.0,1185.0,260.0,19.0,230.0,500.0,995.0,610.0,995.0,45.0,8.0,0.0,10.0,25.0,0007,2016S05100007,35,Ontario,Alfred,,9.2,9.7,00001
8,Alliston,17.7,1410.0,60.4,515.0,1045.0,1065.0,1845.0,40.0,9470.0,750.0,8510.0,46329.0,1180.0,445.0,2435.0,25.0,25.0,59.3,770.0,17.46,3040.0,180.0,34220.0,7588.0,38136.0,1285.0,10570.0,63.7,1077.6,15343.0,18809.0,4825.0,8.6,3255.0,8405.0,15165.0,9365.0,15170.0,305.0,6.8,85.0,145.0,1490.0,0008,2016S05100008,35,Ontario,Alliston,,3.2,4.6,00000
9,Alma,15.0,1310.0,62.4,845.0,650.0,525.0,270.0,65.0,9630.0,3185.0,9447.0,38100.0,1450.0,800.0,2385.0,60.0,10.0,51.2,1060.0,14.71,5760.0,260.0,27553.0,8850.0,30564.0,1495.0,13520.0,56.7,1455.5,19965.0,21406.0,7830.0,16.5,1655.0,8520.0,17355.0,10975.0,17360.0,2390.0,9.8,130.0,345.0,1915.0,0009,2016S05100009,24,Quebec,Alma,,4.0,5.1,00000
10,Almonte,15.2,520.0,58.8,155.0,540.0,290.0,200.0,10.0,2500.0,130.0,8592.0,46698.0,380.0,75.0,815.0,10.0,10.0,58.9,225.0,3.8,645.0,90.0,33216.0,8433.0,37134.0,210.0,2890.0,62.5,1325.7,4822.0,5039.0,1505.0,12.0,750.0,2190.0,4050.0,2470.0,4055.0,60.0,5.7,35.0,35.0,520.0,0010,2016S05100010,35,Ontario,Almonte,,7.0,5.9,00000
11,Altona,18.8,125.0,59.9,140.0,125.0,25.0,60.0,15.0,1980.0,200.0,7889.0,38657.0,210.0,70.0,315.0,10.0,0.0,61.5,155.0,4.53,1435.0,35.0,28587.0,6348.0,31957.0,370.0,2170.0,63.9,919.0,4013.0,4167.0,855.0,17.4,675.0,1775.0,3120.0,1895.0,3120.0,130.0,3.8,40.0,40.0,300.0,0011,2016S05100011,46,Manitoba,Altona,,6.9,4.6,00000
12,Amherst,15.0,610.0,61.0,440.0,320.0,70.0,125.0,30.0,4290.0,385.0,9731.0,34350.0,545.0,150.0,1275.0,25.0,10.0,49.6,495.0,12.38,2590.0,135.0,25248.0,8745.0,27226.0,770.0,6025.0,56.3,771.2,9868.0,9550.0,2455.0,25.3,1555.0,3715.0,7835.0,4780.0,7835.0,240.0,12.0,20.0,60.0,730.0,0012,2016S05100012,12,Nova Scotia,Amherst,,4.3,4.0,00000
14,Amherstburg,16.8,1865.0,65.0,685.0,2430.0,330.0,85.0,20.0,7125.0,620.0,8582.0,46066.0,995.0,395.0,2270.0,30.0,50.0,59.3,830.0,13.51,1795.0,220.0,33756.0,6995.0,37482.0,515.0,7945.0,63.7,1029.3,13724.0,13910.0,4425.0,9.6,2385.0,6500.0,11465.0,7325.0,11465.0,230.0,6.9,135.0,100.0,1430.0,0014,2016S05100014,35,Ontario,Amherstburg,,2.4,5.0,00000
15,Amos,16.0,460.0,63.7,485.0,155.0,200.0,245.0,30.0,4900.0,1330.0,9651.0,41294.0,615.0,305.0,880.0,65.0,10.0,56.9,535.0,8.42,3335.0,70.0,29690.0,8713.0,33206.0,975.0,6075.0,62.0,1188.1,9862.0,10005.0,3245.0,14.0,790.0,4400.0,8035.0,5010.0,8030.0,1025.0,8.2,55.0,220.0,815.0,0015,2016S05100015,24,Quebec,Amos,,5.0,6.2,00000
16,Amqui,14.3,325.0,61.4,230.0,75.0,10.0,60.0,5.0,2000.0,665.0,10478.0,34534.0,265.0,140.0,485.0,0.0,0.0,49.5,330.0,5.57,1290.0,50.0,25735.0,10083.0,28224.0,415.0,3000.0,55.7,810.4,4657.0,4511.0,1545.0,20.4,380.0,1760.0,3705.0,2340.0,3710.0,525.0,11.1,30.0,45.0,350.0,0016,2016S05100016,24,Quebec,Amqui,,2.5,5.2,00000
18,Angus - Borden CFB-BFC,20.3,2465.0,71.7,360.0,830.0,310.0,720.0,15.0,6855.0,650.0,6741.0,43392.0,710.0,320.0,1900.0,10.0,10.0,69.9,620.0,14.35,1950.0,95.0,35429.0,4180.0,39788.0,860.0,5720.0,74.9,880.9,10132.0,12640.0,3535.0,7.5,2355.0,6270.0,9335.0,6750.0,9335.0,330.0,6.7,70.0,100.0,880.0,0018,2016S05100018,35,Ontario,Angus - Borden CFB-BFC,,10.1,2.8,01100
19,Antigonish,12.1,355.0,62.4,260.0,120.0,90.0,55.0,20.0,2425.0,165.0,8095.0,40102.0,490.0,65.0,485.0,45.0,120.0,54.5,295.0,5.49,1495.0,230.0,26043.0,6901.0,28359.0,155.0,3230.0,60.4,910.6,5049.0,5002.0,1650.0,21.5,500.0,2115.0,4095.0,2300.0,4095.0,100.0,9.9,30.0,85.0,915.0,0019,2016S05100019,12,Nova Scotia,Antigonish,,4.6,5.7,00000
20,Armstrong,15.5,785.0,58.6,155.0,270.0,70.0,85.0,15.0,2245.0,320.0,9029.0,38857.0,145.0,200.0,695.0,0.0,0.0,52.5,240.0,5.22,800.0,45.0,28713.0,8567.0,31987.0,255.0,2940.0,56.2,979.8,4830.0,5114.0,1275.0,13.7,960.0,2010.0,4075.0,2490.0,4075.0,115.0,6.6,20.0,50.0,210.0,0020,2016S05100020,59,British Columbia,Armstrong,,6.7,6.8,00000
21,Arnprior,15.3,675.0,61.1,405.0,810.0,595.0,620.0,30.0,5000.0,485.0,9337.0,41283.0,560.0,225.0,1695.0,0.0,15.0,55.5,580.0,12.12,1810.0,105.0,31005.0,8719.0,34206.0,590.0,6245.0,60.0,860.4,9892.0,10426.0,3000.0,15.0,1680.0,4515.0,8490.0,5265.0,8490.0,255.0,7.5,65.0,75.0,745.0,0021,2016S05100021,35,Ontario,Arnprior,,4.1,5.4,00000
22,Arthur,18.9,335.0,64.8,80.0,230.0,135.0,75.0,0.0,1295.0,125.0,7755.0,40830.0,75.0,70.0,325.0,0.0,10.0,71.7,105.0,2.85,450.0,10.0,32540.0,5536.0,36736.0,210.0,1200.0,74.0,819.3,2314.0,2333.0,555.0,9.7,415.0,1225.0,1750.0,1185.0,1750.0,55.0,3.1,0.0,0.0,95.0,0022,2016S05100022,35,Ontario,Arthur,,5.9,3.5,00000
23,Asbestos,14.3,365.0,54.0,185.0,210.0,165.0,70.0,30.0,1910.0,820.0,11085.0,32637.0,135.0,195.0,310.0,0.0,0.0,41.6,205.0,3.56,940.0,20.0,23310.0,11274.0,24627.0,620.0,3695.0,45.4,1463.2,5401.0,5205.0,1355.0,24.5,445.0,1750.0,4370.0,2425.0,4375.0,625.0,8.1,40.0,30.0,185.0,0023,2016S05100023,24,Quebec,Asbestos,,4.5,6.1,00000
24,Ashcroft,10.6,65.0,50.7,25.0,55.0,15.0,25.0,10.0,445.0,95.0,10329.0,37334.0,45.0,50.0,85.0,0.0,0.0,41.3,40.0,2.04,220.0,10.0,27960.0,11664.0,29675.0,105.0,715.0,44.8,530.3,1151.0,1084.0,270.0,16.7,225.0,380.0,1000.0,600.0,1000.0,45.0,7.8,10.0,30.0,60.0,0024,2016S05100024,59,British Columbia,Ashcroft,,7.8,14.9,00111
25,Assiniboia,14.7,120.0,55.3,100.0,45.0,40.0,80.0,10.0,1195.0,160.0,9103.0,41856.0,110.0,85.0,260.0,0.0,0.0,60.7,140.0,2.38,755.0,15.0,32811.0,9296.0,36075.0,140.0,1310.0,62.5,1005.0,2408.0,2389.0,605.0,11.3,385.0,1045.0,1915.0,1130.0,1920.0,80.0,2.9,15.0,40.0,140.0,0025,2016S05100025,47,Saskatchewan,Assiniboia,,6.4,9.6,00001
28,Atikokan,13.9,130.0,62.9,65.0,60.0,10.0,30.0,5.0,890.0,130.0,10427.0,41544.0,95.0,75.0,260.0,0.0,0.0,50.0,85.0,2.08,535.0,10.0,31872.0,10304.0,34714.0,135.0,1200.0,57.3,932.6,1943.0,1944.0,520.0,12.5,315.0,755.0,1580.0,970.0,1580.0,60.0,12.2,10.0,20.0,110.0,0028,2016S05100028,35,Ontario,Atikokan,,6.0,10.0,00011
30,Aylmer,19.8,905.0,61.6,225.0,565.0,195.0,125.0,35.0,3510.0,225.0,8914.0,35887.0,260.0,120.0,995.0,20.0,0.0,54.3,325.0,6.27,1245.0,55.0,25821.0,8023.0,27648.0,940.0,4385.0,59.7,1216.2,7249.0,7621.0,1610.0,19.3,1110.0,3040.0,6045.0,3660.0,6045.0,110.0,9.0,25.0,25.0,365.0,0030,2016S05100030,35,Ontario,Aylmer,,3.0,3.6,00000
31,Ayr,21.6,875.0,67.8,130.0,560.0,170.0,165.0,5.0,2435.0,170.0,6977.0,54757.0,390.0,115.0,750.0,10.0,15.0,71.7,190.0,3.52,410.0,95.0,40565.0,3014.0,46165.0,130.0,1980.0,75.4,1185.3,3909.0,4171.0,1520.0,2.9,545.0,2185.0,3255.0,2190.0,3255.0,55.0,5.1,50.0,35.0,560.0,0031,2016S05100031,35,Ontario,Ayr,,2.4,4.2,00000
36,Baie-Comeau,15.9,1150.0,66.9,345.0,125.0,45.0,110.0,25.0,4960.0,1260.0,8947.0,47879.0,845.0,340.0,1300.0,30.0,10.0,57.9,430.0,11.37,3180.0,150.0,34844.0,7912.0,40347.0,610.0,5445.0,62.2,845.2,9917.0,9610.0,3850.0,6.6,990.0,4605.0,8120.0,5450.0,8120.0,920.0,6.8,80.0,175.0,1115.0,0036,2016S05100036,24,Quebec,Baie-Comeau,,3.4,5.8,00000
37,Baie-Saint-Paul,13.2,305.0,58.0,275.0,120.0,55.0,75.0,20.0,2170.0,695.0,9652.0,37353.0,260.0,175.0,470.0,10.0,10.0,52.2,310.0,4.01,1350.0,50.0,27328.0,10030.0,30190.0,340.0,3270.0,56.0,1212.8,4323.0,4868.0,1625.0,13.5,470.0,1905.0,3910.0,2440.0,3910.0,515.0,6.9,20.0,110.0,350.0,0037,2016S05100037,24,Quebec,Baie-Saint-Paul,,3.8,5.4,00000
38,Golden,15.6,115.0,74.9,15.0,0.0,0.0,10.0,0.0,755.0,85.0,7283.0,64232.0,115.0,50.0,185.0,0.0,0.0,73.4,55.0,0.93,555.0,25.0,46848.0,2496.0,54784.0,100.0,505.0,78.6,1241.7,1220.0,1154.0,430.0,2.6,145.0,685.0,960.0,675.0,960.0,35.0,7.3,10.0,15.0,150.0,0038,2016S05100038,35,Ontario,Golden,,4.6,6.6,00000
40,Banff,10.8,940.0,80.7,145.0,190.0,110.0,115.0,10.0,4680.0,395.0,4497.0,47395.0,1180.0,245.0,970.0,10.0,25.0,80.1,380.0,4.77,2850.0,135.0,32976.0,858.0,36998.0,100.0,3130.0,83.9,1646.0,7584.0,7851.0,3015.0,6.3,1020.0,4205.0,5605.0,4130.0,5605.0,145.0,4.7,70.0,230.0,1420.0,0040,2016S05100040,48,Alberta,Banff,,22.2,13.0,02312
41,Barraute,17.7,20.0,60.0,30.0,150.0,25.0,40.0,5.0,505.0,210.0,10254.0,34560.0,30.0,35.0,65.0,0.0,0.0,54.7,45.0,1.33,160.0,0.0,26976.0,10176.0,29824.0,120.0,675.0,60.6,827.6,1097.0,1099.0,330.0,21.1,95.0,405.0,845.0,540.0,850.0,175.0,9.7,0.0,15.0,30.0,0041,2016S05100041,24,Quebec,Barraute,,4.8,8.3,00000
42,Barrhead,17.8,210.0,55.9,210.0,175.0,35.0,130.0,15.0,1995.0,220.0,9889.0,46804.0,250.0,165.0,400.0,20.0,0.0,56.2,260.0,4.75,1230.0,45.0,30930.0,9678.0,33936.0,350.0,2235.0,60.0,922.8,4158.0,4387.0,1005.0,12.1,550.0,1780.0,3360.0,1910.0,3360.0,60.0,6.7,10.0,60.0,320.0,0042,2016S05100042,48,Alberta,Barrhead,,7.0,6.9,00000
43,Barrie,18.0,20715.0,68.0,5725.0,9065.0,6025.0,11455.0,400.0,79715.0,5435.0,7106.0,44754.0,12000.0,2720.0,24390.0,465.0,290.0,64.3,8565.0,83.67,23075.0,2690.0,30874.0,3972.0,34001.0,8070.0,80080.0,69.5,1740.2,140383.0,145614.0,47780.0,11.9,22510.0,70330.0,117115.0,78365.0,117120.0,2715.0,7.4,1240.0,1275.0,16685.0,0043,2016S05100043,35,Ontario,Barrie,,3.4,3.6,00000
44,Barry's Bay,10.8,55.0,51.4,25.0,30.0,20.0,15.0,10.0,380.0,15.0,12451.0,31372.0,35.0,10.0,110.0,0.0,0.0,40.5,30.0,2.26,190.0,20.0,23616.0,11200.0,24896.0,85.0,770.0,44.5,556.9,1241.0,1259.0,185.0,24.1,95.0,310.0,860.0,370.0,865.0,10.0,9.1,0.0,0.0,50.0,0044,2016S05100044,35,Ontario,Barry's Bay,,11.8,17.1,01011
45,Bathurst,11.3,1605.0,61.1,745.0,340.0,115.0,180.0,70.0,6475.0,670.0,9912.0,36197.0,1005.0,320.0,2260.0,55.0,15.0,45.7,1040.0,25.15,3425.0,150.0,25278.0,9453.0,27388.0,1395.0,9925.0,51.6,618.5,15990.0,15557.0,4345.0,23.1,2005.0,5660.0,12925.0,7745.0,12920.0,350.0,11.3,80.0,110.0,1300.0,0045,2016S05100045,13,New Brunswick,Bathurst,,5.1,5.8,00000
46,Bay Roberts,16.5,545.0,63.7,205.0,215.0,125.0,560.0,30.0,3150.0,730.0,10707.0,43108.0,385.0,390.0,1150.0,0.0,10.0,47.1,355.0,17.56,1190.0,135.0,27456.0,10069.0,29948.0,420.0,4430.0,54.6,404.4,6812.0,7100.0,2525.0,16.0,760.0,2640.0,5865.0,3710.0,5865.0,340.0,13.6,25.0,90.0,555.0,0046,2016S05100046,10,Newfoundland and Labrador,Bay Roberts,,3.4,8.2,00000
47,Beauceville,15.0,635.0,59.5,120.0,130.0,60.0,40.0,20.0,1865.0,525.0,9268.0,36346.0,150.0,160.0,345.0,0.0,0.0,60.0,145.0,6.05,850.0,15.0,27883.0,8850.0,30797.0,405.0,2410.0,62.9,623.4,3652.0,3769.0,1080.0,15.4,360.0,1715.0,2990.0,1845.0,2990.0,370.0,4.5,10.0,25.0,175.0,0047,2016S05100047,24,Quebec,Beauceville,,4.6,5.2,00000
50,Beaupré,13.5,410.0,59.1,270.0,750.0,320.0,100.0,30.0,2875.0,885.0,9610.0,41157.0,280.0,275.0,615.0,10.0,10.0,58.4,270.0,9.78,960.0,65.0,29679.0,8778.0,33062.0,340.0,3640.0,61.9,602.3,5705.0,5889.0,1985.0,13.1,565.0,2550.0,4680.0,2885.0,4675.0,610.0,5.5,15.0,110.0,370.0,0050,2016S05100050,24,Quebec,Beaupré,,5.4,6.2,00000
51,Beausejour,15.2,185.0,59.8,115.0,265.0,185.0,130.0,10.0,1510.0,150.0,8609.0,40987.0,140.0,100.0,355.0,0.0,0.0,57.2,180.0,2.49,570.0,45.0,30320.0,8612.0,33902.0,205.0,1775.0,60.8,1160.5,2842.0,2895.0,790.0,15.5,425.0,1335.0,2500.0,1420.0,2500.0,50.0,6.2,25.0,65.0,215.0,0051,2016S05100051,46,Manitoba,Beausejour,,5.7,8.2,00000
52,Beaverlodge,22.5,200.0,61.0,35.0,235.0,95.0,50.0,5.0,1200.0,210.0,8576.0,54006.0,70.0,115.0,265.0,0.0,0.0,63.4,110.0,3.06,480.0,25.0,35661.0,7088.0,39232.0,210.0,975.0,68.8,759.7,2245.0,2327.0,605.0,9.5,365.0,1055.0,1755.0,1175.0,1755.0,90.0,8.3,15.0,20.0,110.0,0052,2016S05100052,48,Alberta,Beaverlodge,,4.7,5.0,00001
53,Beaverton,12.8,130.0,57.1,70.0,205.0,140.0,330.0,10.0,1270.0,100.0,9663.0,40125.0,55.0,55.0,320.0,0.0,0.0,51.4,100.0,4.82,335.0,10.0,28954.0,9579.0,31584.0,230.0,1720.0,55.7,585.6,2792.0,2822.0,515.0,14.8,525.0,1135.0,2325.0,1270.0,2325.0,50.0,7.7,10.0,15.0,80.0,0053,2016S05100053,35,Ontario,Beaverton,,8.5,5.3,00100
54,Gentilly,13.1,150.0,63.6,60.0,220.0,35.0,25.0,10.0,775.0,300.0,9067.0,37783.0,60.0,75.0,205.0,0.0,0.0,51.2,85.0,1.61,260.0,0.0,27168.0,9077.0,29888.0,130.0,1135.0,53.3,1039.8,1756.0,1673.0,600.0,15.7,150.0,690.0,1440.0,875.0,1440.0,230.0,4.5,10.0,30.0,65.0,0054,2016S05100054,24,Quebec,Gentilly,,3.1,0.0,00000
56,Bedford,15.3,245.0,57.3,80.0,175.0,35.0,50.0,20.0,1110.0,180.0,9820.0,34234.0,110.0,40.0,185.0,0.0,0.0,52.2,75.0,3.81,465.0,25.0,25653.0,10064.0,27814.0,310.0,1635.0,55.9,668.8,2669.0,2550.0,530.0,21.8,370.0,975.0,2020.0,1215.0,2020.0,135.0,6.2,0.0,25.0,145.0,0056,2016S05100056,24,Quebec,Bedford,,6.1,4.4,00000
58,Beeton,17.0,510.0,70.1,110.0,400.0,345.0,435.0,5.0,2335.0,185.0,6260.0,46301.0,225.0,110.0,695.0,0.0,0.0,72.3,170.0,2.12,365.0,35.0,35840.0,3008.0,40320.0,285.0,1850.0,76.9,1839.1,3730.0,3891.0,1165.0,6.8,705.0,2045.0,3070.0,2160.0,3070.0,70.0,6.1,10.0,15.0,280.0,0058,2016S05100058,35,Ontario,Beeton,,4.5,4.1,00000
61,Belleville,15.5,8855.0,62.9,2270.0,2905.0,920.0,1035.0,240.0,31020.0,2355.0,9302.0,38459.0,3740.0,980.0,10720.0,140.0,50.0,53.4,3325.0,82.64,14475.0,845.0,27626.0,8599.0,29892.0,4885.0,41215.0,57.5,818.8,66331.0,67666.0,18470.0,18.2,10865.0,28195.0,55180.0,34220.0,55180.0,1375.0,7.2,250.0,370.0,5025.0,0061,2016S05100061,35,Ontario,Belleville,,4.1,5.1,00000
63,Beloeil,18.7,6865.0,63.4,1930.0,5630.0,3025.0,3140.0,130.0,27505.0,4865.0,8689.0,50516.0,5550.0,1370.0,6175.0,150.0,180.0,66.1,2405.0,26.42,6020.0,1385.0,36150.0,7215.0,42088.0,1955.0,27820.0,69.1,1924.6,48688.0,50845.0,20095.0,6.8,4700.0,24680.0,40415.0,26745.0,40410.0,3495.0,4.4,625.0,1160.0,7890.0,0063,2016S05100063,24,Quebec,Beloeil,,2.7,3.0,00000
67,Berthierville,12.5,405.0,62.5,170.0,330.0,140.0,130.0,25.0,2285.0,600.0,9206.0,32576.0,135.0,180.0,370.0,10.0,0.0,55.8,185.0,5.19,1075.0,40.0,23948.0,8928.0,25664.0,720.0,3150.0,60.1,908.6,4495.0,4715.0,1220.0,20.7,495.0,2070.0,3895.0,2435.0,3895.0,415.0,7.1,15.0,45.0,210.0,0067,2016S05100067,24,Quebec,Berthierville,,5.8,7.1,00000
69,Berwick,11.7,375.0,54.4,115.0,65.0,20.0,30.0,5.0,1015.0,80.0,9555.0,34756.0,160.0,15.0,350.0,10.0,0.0,50.0,155.0,3.81,390.0,60.0,25856.0,9456.0,27989.0,140.0,1445.0,55.6,643.5,2368.0,2449.0,685.0,18.2,215.0,870.0,1880.0,1045.0,1880.0,65.0,10.5,20.0,15.0,245.0,0069,2016S05100069,12,Nova Scotia,Berwick,,7.3,5.5,00000
71,Biggar,17.1,95.0,58.4,90.0,60.0,30.0,75.0,10.0,965.0,160.0,9489.0,41621.0,100.0,65.0,255.0,10.0,0.0,51.4,135.0,1.66,600.0,10.0,32192.0,8800.0,35669.0,190.0,1170.0,55.4,1305.7,2100.0,2165.0,560.0,14.4,310.0,855.0,1750.0,1055.0,1745.0,95.0,6.7,0.0,25.0,125.0,0071,2016S05100071,47,Saskatchewan,Biggar,,4.9,10.5,00011
72,Bishop's Falls,13.0,450.0,64.9,130.0,50.0,20.0,40.0,5.0,1145.0,180.0,10442.0,36452.0,85.0,90.0,470.0,0.0,0.0,41.2,160.0,5.77,340.0,10.0,24695.0,10704.0,26032.0,310.0,1760.0,51.8,447.3,2658.0,2581.0,750.0,21.9,435.0,890.0,2280.0,1500.0,2280.0,95.0,20.3,0.0,0.0,90.0,0072,2016S05100072,10,Newfoundland and Labrador,Bishop's Falls,,3.8,12.8,00011
74,Blairmore,14.6,105.0,62.1,90.0,75.0,45.0,85.0,5.0,805.0,110.0,10901.0,52906.0,115.0,80.0,225.0,10.0,10.0,56.4,85.0,2.04,405.0,10.0,31347.0,9984.0,33835.0,110.0,800.0,61.3,758.3,1521.0,1545.0,495.0,12.4,240.0,720.0,1330.0,845.0,1330.0,30.0,8.6,0.0,20.0,140.0,0074,2016S05100074,48,Alberta,Blairmore,,4.3,7.7,00000
75,Blenheim,15.4,675.0,60.0,135.0,180.0,55.0,85.0,5.0,1960.0,150.0,9633.0,36579.0,145.0,70.0,665.0,0.0,0.0,53.7,195.0,4.54,810.0,35.0,27163.0,9395.0,29312.0,375.0,2655.0,57.3,957.4,4595.0,4344.0,1025.0,17.0,715.0,1805.0,3545.0,2110.0,3545.0,80.0,6.2,0.0,25.0,185.0,0075,2016S05100075,35,Ontario,Blenheim,,5.0,6.0,00000
76,Blind River,13.3,125.0,61.9,85.0,45.0,65.0,15.0,10.0,995.0,155.0,11358.0,35098.0,160.0,95.0,275.0,0.0,0.0,44.7,125.0,3.9,625.0,15.0,25280.0,11072.0,26720.0,275.0,1515.0,49.4,585.3,2426.0,2284.0,635.0,27.3,360.0,875.0,2025.0,1275.0,2025.0,60.0,9.5,15.0,15.0,185.0,0076,2016S05100076,35,Ontario,Blind River,,4.2,7.7,00000
77,Bobcaygeon,6.5,210.0,44.0,90.0,150.0,85.0,85.0,15.0,1075.0,110.0,11488.0,42379.0,140.0,60.0,385.0,0.0,10.0,31.5,155.0,5.27,385.0,20.0,28168.0,12974.0,30768.0,180.0,2630.0,34.5,669.1,3508.0,3525.0,700.0,15.5,485.0,920.0,3160.0,1370.0,3160.0,50.0,8.3,30.0,15.0,195.0,0077,2016S05100077,35,Ontario,Bobcaygeon,,6.7,5.5,00000
78,Boissevain,17.8,145.0,55.9,90.0,40.0,80.0,25.0,5.0,840.0,95.0,8112.0,55790.0,80.0,70.0,235.0,20.0,0.0,61.0,110.0,2.44,475.0,10.0,30067.0,8237.0,33760.0,90.0,920.0,62.9,679.7,1572.0,1656.0,475.0,15.2,230.0,760.0,1335.0,790.0,1335.0,20.0,2.4,10.0,25.0,120.0,0078,2016S05100078,46,Manitoba,Boissevain,,6.0,9.3,00000
79,Saint-Martin,18.0,245.0,63.1,55.0,105.0,40.0,10.0,5.0,825.0,250.0,9135.0,36863.0,45.0,90.0,115.0,10.0,0.0,62.6,85.0,3.27,360.0,0.0,28864.0,8336.0,31904.0,290.0,1000.0,65.4,483.7,1654.0,1582.0,430.0,12.1,140.0,755.0,1270.0,865.0,1270.0,160.0,4.2,10.0,10.0,60.0,0079,2016S05100079,24,Quebec,Saint-Martin,,3.1,5.1,00000
80,Bolton,20.2,2115.0,68.8,460.0,4010.0,2360.0,2185.0,30.0,15335.0,1140.0,6172.0,52030.0,2380.0,660.0,4140.0,30.0,75.0,70.3,790.0,20.72,3310.0,370.0,37064.0,2394.0,41915.0,1435.0,13315.0,75.0,1273.0,27108.0,26378.0,8715.0,5.2,4065.0,13985.0,20885.0,14210.0,20885.0,480.0,6.3,295.0,285.0,3150.0,0080,2016S05100080,35,Ontario,Bolton,,2.2,3.2,00000
