GEO_CODE,GEO_NAME,0 to 14 years,15 to 29 minutes,15 to 64 years,3 Health occupations,30 to 44 minutes,45 to 59 minutes,60 minutes and over,65 years and over,All occupations,Apprenticeship or trades certificate or diploma,Average government transfers in 2015 among recipients ($),Average total income in 2015 among recipients ($),Bachelor's degree,Certificate of Apprenticeship or Certificate of Qualification,"College, CEGEP or other non-university certificate or diploma","Degree in medicine, dentistry, veterinary medicine or optometry",Earned doctorate,Employment rate,Health and related fields,Land area in square kilometres,Less than 15 minutes,Master's degree,Median after-tax income in 2015 among recipients ($),Median government transfers in 2015 among recipients ($),Median total income in 2015 among recipients ($),"No certificate, diploma or degree",Number of government transfers recipients aged 15 years and over in private households - 100% data,Participation rate,Population density per square kilometre,"Population, 2011","Population, 2016","Postsecondary certificate, diploma or degree","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",Secondary (high) school diploma or equivalency certificate,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,Unemployment rate,University certificate or diploma above bachelor level,University certificate or diploma below bachelor level,"University certificate, diploma or degree at bachelor level or above",GEO_ID_CODE,GEO_UID,PROV_TERR_ID_CODE,PROV_TERR_NAME_NOM,GEO_NAME_NOM,GEO_TYPE,GEO_GNR_SF,GEO_GNR_LF,GEO_DQ
1407,Nobleford,32.0,160.0,58.2,25.0,150.0,10.0,15.0,0.0,515.0,85.0,9269.0,41279.0,45.0,45.0,145.0,0.0,0.0,59.4,40.0,0.98,130.0,10.0,32171.0,6560.0,34496.0,115.0,500.0,64.2,1309.7,1000.0,1278.0,295.0,13.3,115.0,465.0,820.0,525.0,820.0,35.0,6.6,0.0,15.0,50.0,1407,2016S05101407,48,Alberta,Nobleford,,4.1,9.2,00000
1408,Aldergrove East,23.3,550.0,66.2,145.0,370.0,155.0,135.0,10.0,1765.0,175.0,7228.0,41438.0,275.0,105.0,280.0,0.0,10.0,69.5,160.0,2.55,385.0,25.0,27328.0,3461.0,29914.0,230.0,1795.0,71.9,1368.4,2383.0,3491.0,895.0,9.0,640.0,1600.0,2475.0,1760.0,2475.0,70.0,3.4,25.0,100.0,340.0,1408,2016S05101408,59,British Columbia,Aldergrove East,,2.6,2.1,00000
1409,Miller's Landing,18.7,75.0,60.7,40.0,15.0,25.0,195.0,15.0,605.0,40.0,6718.0,54965.0,165.0,20.0,90.0,0.0,15.0,66.9,55.0,1.45,125.0,75.0,31808.0,4352.0,36224.0,0.0,565.0,69.7,754.2,1113.0,1097.0,435.0,11.9,105.0,425.0,875.0,545.0,880.0,20.0,4.1,30.0,25.0,285.0,1409,2016S05101409,59,British Columbia,Miller's Landing,,4.6,3.8,00000
1410,Cowichan Bay,15.4,255.0,61.8,110.0,90.0,100.0,115.0,10.0,1055.0,130.0,9100.0,42730.0,180.0,60.0,290.0,10.0,20.0,53.1,140.0,3.35,350.0,90.0,31232.0,8203.0,34944.0,100.0,1385.0,56.0,714.2,2108.0,2394.0,810.0,12.8,255.0,905.0,1920.0,1165.0,1920.0,75.0,5.1,25.0,65.0,320.0,1410,2016S05101410,59,British Columbia,Cowichan Bay,,5.8,6.5,00000
1411,Mitchell,30.5,205.0,63.2,70.0,45.0,95.0,180.0,5.0,1355.0,125.0,6330.0,36776.0,110.0,75.0,275.0,0.0,0.0,68.4,90.0,4.01,705.0,15.0,27896.0,3324.0,30976.0,305.0,1160.0,73.8,629.7,1915.0,2523.0,540.0,13.5,360.0,1220.0,1865.0,1210.0,1870.0,50.0,7.6,0.0,20.0,130.0,1411,2016S05101411,46,Manitoba,Mitchell,,1.8,6.2,00000
1412,Moose Lake,38.9,10.0,57.0,0.0,15.0,10.0,10.0,0.0,180.0,20.0,8373.0,18223.0,10.0,0.0,30.0,0.0,0.0,22.0,10.0,1.29,115.0,0.0,13536.0,4885.0,13536.0,250.0,590.0,32.6,951.9,1072.0,1225.0,75.0,37.0,90.0,150.0,700.0,415.0,705.0,15.0,32.6,0.0,10.0,10.0,1412,2016S05101412,46,Manitoba,Moose Lake,,15.8,18.6,01212
1413,St. Theresa Point,41.3,60.0,54.3,10.0,10.0,0.0,0.0,0.0,255.0,20.0,7113.0,18169.0,15.0,10.0,40.0,0.0,0.0,39.3,20.0,0.18,160.0,0.0,14112.0,1482.0,14112.0,235.0,515.0,45.9,5897.7,1057.0,1038.0,95.0,0.0,80.0,230.0,610.0,415.0,610.0,10.0,12.5,0.0,20.0,15.0,1413,2016S05101413,46,Manitoba,St. Theresa Point,,8.3,11.2,00111
1414,Grunthal,27.4,200.0,59.5,25.0,120.0,70.0,70.0,0.0,725.0,65.0,6620.0,35728.0,45.0,30.0,110.0,0.0,0.0,64.3,55.0,2.83,210.0,0.0,25600.0,4208.0,28237.0,245.0,830.0,68.5,593.7,1640.0,1680.0,235.0,22.4,180.0,675.0,1070.0,655.0,1065.0,25.0,6.8,10.0,10.0,45.0,1414,2016S05101414,46,Manitoba,Grunthal,,4.0,7.5,00001
1415,Gillam,28.5,65.0,67.6,10.0,50.0,20.0,0.0,5.0,560.0,90.0,4833.0,64744.0,60.0,65.0,105.0,0.0,0.0,70.0,10.0,1.06,375.0,15.0,42752.0,1316.0,48768.0,115.0,520.0,76.0,977.3,1248.0,1036.0,305.0,5.8,125.0,510.0,750.0,545.0,745.0,20.0,8.8,0.0,45.0,70.0,1415,2016S05101415,46,Manitoba,Gillam,,4.6,12.0,00011
1416,Blumenort,30.1,220.0,61.2,65.0,80.0,80.0,75.0,10.0,900.0,125.0,5626.0,39297.0,70.0,75.0,200.0,0.0,10.0,68.1,80.0,3.18,335.0,10.0,29648.0,3584.0,32176.0,210.0,810.0,73.8,526.3,1404.0,1675.0,435.0,15.2,280.0,800.0,1240.0,925.0,1240.0,50.0,7.1,0.0,30.0,80.0,1416,2016S05101416,46,Manitoba,Blumenort,,3.1,3.8,00000
