GEO_CODE,GEO_NAME,0 to 14 years,15 to 29 minutes,15 to 64 years,3 Health occupations,30 to 44 minutes,45 to 59 minutes,60 minutes and over,65 years and over,All occupations,Apprenticeship or trades certificate or diploma,Average government transfers in 2015 among recipients ($),Average total income in 2015 among recipients ($),Bachelor's degree,Certificate of Apprenticeship or Certificate of Qualification,"College, CEGEP or other non-university certificate or diploma","Degree in medicine, dentistry, veterinary medicine or optometry",Earned doctorate,Employment rate,Health and related fields,Land area in square kilometres,Less than 15 minutes,Master's degree,Median after-tax income in 2015 among recipients ($),Median government transfers in 2015 among recipients ($),Median total income in 2015 among recipients ($),"No certificate, diploma or degree",Number of government transfers recipients aged 15 years and over in private households - 100% data,Participation rate,Population density per square kilometre,"Population, 2011","Population, 2016","Postsecondary certificate, diploma or degree","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",Secondary (high) school diploma or equivalency certificate,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,Unemployment rate,University certificate or diploma above bachelor level,University certificate or diploma below bachelor level,"University certificate, diploma or degree at bachelor level or above",GEO_ID_CODE,GEO_UID,PROV_TERR_ID_CODE,PROV_TERR_NAME_NOM,GEO_NAME_NOM,GEO_TYPE,GEO_GNR_SF,GEO_GNR_LF,GEO_DQ,lng,lat,pharmacies
654,Port Alberni,15.4,1245.0,60.8,670.0,380.0,200.0,665.0,95.0,8825.0,1425.0,9825.0,36259.0,655.0,840.0,2550.0,10.0,20.0,47.4,1115.0,27.63,5105.0,225.0,26617.0,10208.0,28861.0,2015.0,13240.0,52.9,749.6,20823.0,20712.0,5285.0,22.1,3040.0,7605.0,17170.0,10340.0,17170.0,580.0,10.4,80.0,325.0,995.0,654,2016S05100654,59,British Columbia,Port Alberni,,5.0,7.1,1,-124.808568858222,49.2595021667066,8
669,Portage la Prairie,19.6,985.0,61.8,640.0,150.0,85.0,325.0,35.0,6010.0,530.0,8540.0,39806.0,740.0,295.0,1440.0,10.0,15.0,57.2,715.0,9.43,3940.0,105.0,30109.0,6963.0,33626.0,1160.0,7130.0,61.7,1373.5,12613.0,12949.0,3050.0,20.2,1960.0,5485.0,9870.0,6160.0,9870.0,235.0,7.2,80.0,120.0,955.0,669,2016S05100669,46,Manitoba,Portage la Prairie,,4.8,6.4,0,-98.2882116718665,49.9705445314721,12
673,Powell River,13.0,815.0,59.3,515.0,330.0,75.0,185.0,70.0,5395.0,890.0,9847.0,39387.0,500.0,505.0,1465.0,50.0,35.0,48.8,685.0,17.31,3390.0,185.0,28232.0,10329.0,30934.0,740.0,7755.0,52.7,715.6,12374.0,12384.0,3425.0,17.1,2005.0,4795.0,10450.0,6160.0,10450.0,375.0,7.4,90.0,215.0,855.0,673,2016S05100673,59,British Columbia,Powell River,,4.2,4.1,0,-124.523607531136,49.8544162112758,8
679,Prince George,17.5,12840.0,68.1,2525.0,1675.0,475.0,985.0,190.0,35690.0,4185.0,7821.0,46447.0,4715.0,2710.0,7630.0,230.0,225.0,62.5,3315.0,70.18,15730.0,1375.0,32988.0,5722.0,36953.0,4835.0,35300.0,68.9,933.5,62623.0,65510.0,19635.0,13.9,10920.0,31705.0,52920.0,35390.0,52920.0,1480.0,9.3,385.0,885.0,6930.0,679,2016S05100679,59,British Columbia,Prince George,,4.2,5.5,0,-122.779904435565,53.9154426785258,21
680,Prince Rupert,18.3,1015.0,67.6,305.0,195.0,40.0,90.0,30.0,6230.0,875.0,8544.0,46098.0,600.0,500.0,1205.0,25.0,15.0,59.6,350.0,7.86,4055.0,130.0,31292.0,6728.0,34639.0,1250.0,6430.0,68.2,1492.3,11985.0,11733.0,3125.0,17.9,1965.0,5390.0,9370.0,6340.0,9365.0,380.0,12.7,80.0,190.0,850.0,680,2016S05100680,59,British Columbia,Prince Rupert,,4.3,5.5,101,-130.31351897199,54.3132593689419,12
681,Princeton,12.8,245.0,60.5,95.0,35.0,10.0,60.0,25.0,1205.0,210.0,10297.0,40538.0,115.0,130.0,330.0,0.0,0.0,49.7,145.0,4.48,740.0,35.0,26144.0,10894.0,28064.0,240.0,1650.0,53.1,613.0,2579.0,2745.0,735.0,20.0,440.0,1090.0,2315.0,1410.0,2315.0,75.0,6.5,10.0,35.0,160.0,681,2016S05100681,59,British Columbia,Princeton,,8.2,10.3,111,-120.513427391899,49.4581078522505,2
687,Quesnel,16.5,1295.0,64.2,310.0,205.0,35.0,230.0,50.0,5775.0,760.0,9172.0,41627.0,585.0,495.0,1235.0,15.0,10.0,53.7,445.0,24.47,3345.0,155.0,28499.0,8527.0,31130.0,1245.0,6900.0,60.0,493.0,12216.0,12064.0,2915.0,19.1,2155.0,5120.0,9815.0,6310.0,9815.0,270.0,10.5,60.0,95.0,825.0,687,2016S05100687,59,British Columbia,Quesnel,,4.8,9.5,1,-122.477559338914,52.9788064031582,7
700,Revelstoke,15.8,485.0,70.7,210.0,105.0,50.0,210.0,25.0,4020.0,715.0,7096.0,43539.0,630.0,395.0,870.0,20.0,10.0,64.7,460.0,10.79,2590.0,175.0,31974.0,4998.0,35712.0,375.0,3765.0,71.1,622.8,6298.0,6719.0,2640.0,12.0,1095.0,3450.0,5690.0,4110.0,5685.0,315.0,9.0,50.0,165.0,890.0,700,2016S05100700,59,British Columbia,Revelstoke,,6.7,10.2,111,-118.193620781562,50.9921560634305,2
710,Rivers,23.9,80.0,59.4,55.0,175.0,50.0,10.0,5.0,565.0,50.0,8055.0,38482.0,40.0,35.0,105.0,0.0,0.0,60.3,50.0,0.86,180.0,10.0,28416.0,7056.0,31936.0,120.0,665.0,66.7,1454.7,1149.0,1257.0,240.0,20.0,185.0,505.0,865.0,540.0,865.0,10.0,9.5,10.0,25.0,55.0,710,2016S05100710,46,Manitoba,Rivers,,3.5,9.3,1,-100.239212970773,50.032727264388,1
716,Roblin,17.3,60.0,51.4,35.0,15.0,10.0,30.0,15.0,650.0,80.0,10747.0,34913.0,55.0,50.0,155.0,10.0,0.0,47.0,60.0,2.57,400.0,0.0,25202.0,11194.0,27273.0,190.0,970.0,52.2,627.2,1705.0,1614.0,340.0,26.5,210.0,515.0,1265.0,735.0,1265.0,40.0,9.8,0.0,20.0,85.0,716,2016S05100716,46,Manitoba,Roblin,,4.9,7.3,0,-101.357448483729,51.2304500307438,2
